,Time,Tweet,User,Location,Retweets,Likes
11,2022-11-06 23:59:52+00:00,@AvgAndy Looks like Kathy will have to start her own social media platform now...,MrJohnHooper,Alberta,0,2
12,2022-11-06 23:59:52+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",luwuthy,,23399,0
13,2022-11-06 23:59:52+00:00,It feels like nobody’s even making money off the detritus anymore. But we have to pick our way through it all to go anywhere or find anything. Social media is the Giant Pacific Garbage Patch.,beyerstein,"Brooklyn, NY",12,66
14,2022-11-06 23:59:51+00:00,@elonmusk You could be doing many things in your position to make the world a better place and you’re fighting on a social media platform. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,CowboysHornsFan,austin tx,0,0
15,2022-11-06 23:59:51+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",david_varley,"Portland, ME",23399,0
16,2022-11-06 23:59:51+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",tigerpunk,"Espinho, Portugal",23399,0
17,2022-11-06 23:59:50+00:00,RT @RikHavic: Is it any coincidence that the media is fixated on crapping on Biden and not sharing the fact that Republicans will gut Socia…,Msgigimac1,"Mpls, Mn",959,0
18,2022-11-06 23:59:50+00:00,"RT @JarofRubiesArt: ✨ MIGRATING ARTIST SHARE THREAD ✨

I know we're all scared about the current social media climate so please share your…",piixelbaka,,232,0
19,2022-11-06 23:59:50+00:00,"Elon is offering to put social media back into our hands. If simply for that, I support the account verification fees.",jhope30203,"Tokyo-to, Japan",0,0
20,2022-11-06 23:59:50+00:00,RT @byelacey: twitter is my favourite social media because i’m a social lurker. even in real life i’m quiet. i don’t particularly enjoy one…,Kashuufucker,,10638,0
21,2022-11-06 23:59:50+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",ThPersian,,23399,0
22,2022-11-06 23:59:50+00:00,RT @byelacey: twitter is my favourite social media because i’m a social lurker. even in real life i’m quiet. i don’t particularly enjoy one…,RedPizzaWolf,Your Mum,10638,0
23,2022-11-06 23:59:50+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",xmutantkidx,Ela/Dela (She/Her) || 23,23399,0
24,2022-11-06 23:59:50+00:00,"RT @annaturley: When you realise that just because you’ve bought a social media platform, it doesn’t mean you can control how people use it…",nowayjomo,,4,0
25,2022-11-06 23:59:50+00:00,RT @BruceHamm7: It really disgusts me when a fan trashes HIS OR HER OWN QB on SOCIAL MEDIA about a bad pass when he performs well. It’s lik…,CAliGurl201,"Birmingham, Alabama",9,0
26,2022-11-06 23:59:49+00:00,y do social media have yall act like that 😂😂😂😂smh,havenkashlyn,,0,0
27,2022-11-06 23:59:49+00:00,RT @ArmaniWatts23: Y’all on here sick if you think I care about follows or social media at that 💀,_lilmook7,"Columbus, GA",4,0
28,2022-11-06 23:59:48+00:00,"RT @OldManLefty1: South Dakota GOP candidate Joel Koskan, has deleted his social media accounts after a family member stepped forward to sa…",pudy221, Virginia,4574,0
29,2022-11-06 23:59:48+00:00,"RT @NReveillee: Hey Twitter friends! I am @NoelleSaysNoGOP on CounterSocial!
I'm working to get accustomed to it!
#ResistanceUnited is goin…",claireluvsbearz,Zzyzx Rd.,21,0
30,2022-11-06 23:59:48+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",Cdurbin33,,23399,0
31,2022-11-06 23:59:48+00:00,"RT @TomFitton: .@ElonMusk, Left have countless billions, government entities, media and NGO's focused like a laser on ensuring Big Tech and…",FreeBirdFly777,,11742,0
32,2022-11-06 23:59:48+00:00,@caprisup Yeah but use it as a social media site,Toasterbot9000,he/him,0,1
33,2022-11-06 23:59:47+00:00,RT @qutdmrc: The @qutdmrc is supporting three $40K p.a PhD scholarships for Aboriginal and Torres Strait Islander applicants interested in…,inside_cupboard,Unceded Yugambeh Land,59,0
34,2022-11-06 23:59:47+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",michelleann68,"iPhone: 47.610695,-122.335701",23399,0
35,2022-11-06 23:59:46+00:00,RT @KarlTurnerMP: .@10DowningStreet want this @RishiSunak interview with @SkyNews off all social media. 🤷🏼‍♂️,AmandaGillender,Herefordshire,4060,0
36,2022-11-06 23:59:46+00:00,"Maybe it is simplistic, unrealistic, and ridiculous.  But if my great-grandmother, who was poor her whole life, widowed with 4 kids at 22, found a way to keep everyone connected, there was to be a way we can figure out how to fight the isolation of the pandemic and social media.",prairietara,Treaty 6 ,1,36
37,2022-11-06 23:59:45+00:00,"RT @SB19xRobots: Reminders to vote #SB19 on TAG AWARDS CHICAGO 2022 

🗳️BAND OF THE YEAR (PH)

Online Votes = 20%
Jury Votes = 80%
⏰:Nov 1…",YoureAPoison2Me,,103,0
38,2022-11-06 23:59:45+00:00,@morganl_uk @stoddglenn @_Natey_P @hodgetwins @elonmusk @kathygriffin I personally have been suspended or banned from every single social media platform I have ever interacted with except Facebook.  And that's only an exception because I am damn careful there since I need it for real life.   1/2,zetetic6,,0,0
39,2022-11-06 23:59:43+00:00,"I'm preparing for the recording soon. its not allowed on social media, or else...🖓",CarDemolisher,Made in Australia,0,0
40,2022-11-06 23:59:43+00:00,RT @byelacey: twitter is my favourite social media because i’m a social lurker. even in real life i’m quiet. i don’t particularly enjoy one…,k3lyb3an,they/them,10638,0
41,2022-11-06 23:59:43+00:00,RT @normwilner: All he had to do was hire comedy writers to handle his social media. But here we are.,MarcQuill,Toronto/Manila,3,0
42,2022-11-06 23:59:43+00:00,RT @Pharazonsbeard: Week 3 Rop Social Media report: “Sooo some of our cast have followed and retweeted Fellowship of the Unhinged accounts.…,Celebrimeow,Norway,3,0
43,2022-11-06 23:59:42+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",Jeide00,Fayetteville,23399,0
44,2022-11-06 23:59:41+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",ThomasEli,,23399,0
45,2022-11-06 23:59:41+00:00,"RT @OldManLefty1: South Dakota GOP candidate Joel Koskan, has deleted his social media accounts after a family member stepped forward to sa…",Lexi477,,4574,0
46,2022-11-06 23:59:41+00:00,@Sunshinencandie I've honestly never used or heard of pillowfort until recent so sane honestly. I'll maybe check it out but I already struggle with social media I have 😩,AFoolishFiend,Outside Your Window ;),0,1
47,2022-11-06 23:59:41+00:00,"RT @ArtShareHub: Since twitter is going to shit and we as artists need other means of support, I wanna make a social media thread 

Post al…",Haku_art,My brain,114,0
48,2022-11-06 23:59:41+00:00,@CalltoActivism It's a private company. They can make whatever rules they want. You should go to another social media site if it bothers you. Lol,WadeJasper4,,1,4
49,2022-11-06 23:59:41+00:00,"RT @RajeswariAiyer: Do u know that Gujarat High Court shattered the Sunni Waqf Board's dream of capturing 2 islands of Bet Dwarka!!
This to…",bvrprasad,Germany,1150,0
50,2022-11-06 23:59:40+00:00,"RT @Riteshkrent: One social media post has the power to change people's lives.😁😞😂
#Twitter #SocialMedia 
#5YrsOnTw https://t.co/DESMc5sytb",SMM_News_Feed,Worldwide,1,0
51,2022-11-06 23:59:39+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",nzacharczuk,"Los Feliz, CA",23399,0
52,2022-11-06 23:59:39+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",QuinncySama,Lalaland,23399,0
53,2022-11-06 23:59:39+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",Shandiar,"Corby, England",23399,0
54,2022-11-06 23:59:38+00:00,"@MarkJ_ohnson Trending hashtag #twittermigration points to a new crop of social media sites such as Mastodon, CounterSocial and even newcomer uSync as places social seekers are starting to flock.",kirish43,Michigan USA,0,0
55,2022-11-06 23:59:38+00:00,"@elonmusk [Worlds smartest man]

&gt;Spends 44 bn to buy social media platform as an arbiter of free speech

&gt;Nothing changes https://t.co/xB9HYhEXMB",Christo93871820,,0,2
56,2022-11-06 23:59:37+00:00,"RT @OldManLefty1: South Dakota GOP candidate Joel Koskan, has deleted his social media accounts after a family member stepped forward to sa…",gaby68068,"Minnesota, USA",4574,0
57,2022-11-06 23:59:37+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",theryanprhodes,"Utah, USA",23399,0
58,2022-11-06 23:59:37+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",scott_maltzman,,23399,0
59,2022-11-06 23:59:37+00:00,It seems that former UK senior politicians are much in demand by social media companies. Facebook hired Nick Clegg; Twitter seems to have hired Liz Truss. https://t.co/smeQD2yJQZ,sTeamTraen,"Palma de Mallorca, Spain",2,5
60,2022-11-06 23:59:37+00:00,"@TimRunsHisMouth Good thing I'm not allowed to view his tweet being that I just ate dinner. On another note,I saw commercial while watching football about 60 minutes tonight and their program will be about how social media is affecting this election. Unbelievable.",William93953007,,0,2
61,2022-11-06 23:59:36+00:00,"If Elon want to ruin twitter to the point it’s inhabitable, so be it, let my social media die in peace.",mrs_enci,"Ex Undis Sol, Indonesia",2,5
62,2022-11-06 23:59:35+00:00,@OleGelo5 They can start own social media ...  Depends on them.. How much Fire 🔥 is there in Fired one...    Will Elon buy it..? this New one too...  😜,madina_basha,,0,0
63,2022-11-06 23:59:35+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",nezyiu,Portugal,23399,0
64,2022-11-06 23:59:35+00:00,RT @Eedwardsellis: Sure! A billionaire with no tech experience bought a social media app and fired everyone who knew how to run the place.…,kw_hoffman,Bisbee,3,0
65,2022-11-06 23:59:34+00:00,since twitter is bad but so is tumblr and instagram and every other commonly suggested alternative. maybe we should all migrate to pinterest and remove the social from the media,fyodorai,they/them. 25+. fan account.,7,32
66,2022-11-06 23:59:34+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",keithogier,Los Angeles,23399,0
67,2022-11-06 23:59:34+00:00,"RT @TheFakeDuchess: Sussexsquad expected being dismantled as @ElonMusk goes after bots, organized race-baiters groups. Meghan Markle should…",AlisonJ34870374,,11,0
68,2022-11-06 23:59:34+00:00,"RT @EpochOpinion: Opinion💭by @AndersCorr

Do mysterious people send you messages on social media that simply say, “Hi”?

Likely as not, the…",Tofinogirl,,22,0
69,2022-11-06 23:59:32+00:00,@NSlayton “Don’t but the social media network under the bridge and expect there not to be trolls.” -Ancient millennial proverb,michaelctraylor,"Los Angeles, CA",0,0
70,2022-11-06 23:59:32+00:00,@Kevin28119172 @JoeBiden Have you ever dreamed of hacking your ex social media ? @papasfavsis is here to provide you with unlimited hack offers discounts price ongoing now.,brke500,,0,0
71,2022-11-06 23:59:32+00:00,@elonmusk I love the liberal exploding heads. Musk needs to buy more social media platforms.,JohnnyPillBox,,0,0
72,2022-11-06 23:59:32+00:00,@EVaheyWorthing Yeah Twitter is the only social media site I use really so 😭😭😭 I’m not going anywhere until the it’s completely unusable which I hope won’t happen,elle_moonchild7,28 | bi disaster,0,2
